prompt,left_0,left_1,left_2,left_3,right_0,right_1,right_2,right_3,gt
a portrait of a mafia boss in a golden suit,https://storage.yandexcloud.net/diffusion/8d0f584d7746410f9c13acdbb2ed3f5d_0.png,https://storage.yandexcloud.net/diffusion/8d0f584d7746410f9c13acdbb2ed3f5d_1.png,https://storage.yandexcloud.net/diffusion/8d0f584d7746410f9c13acdbb2ed3f5d_2.png,https://storage.yandexcloud.net/diffusion/8d0f584d7746410f9c13acdbb2ed3f5d_3.png,https://storage.yandexcloud.net/diffusion/95a4ce6bda0d4c6b8be526b796fa6153_0.png,https://storage.yandexcloud.net/diffusion/95a4ce6bda0d4c6b8be526b796fa6153_1.png,https://storage.yandexcloud.net/diffusion/95a4ce6bda0d4c6b8be526b796fa6153_2.png,https://storage.yandexcloud.net/diffusion/95a4ce6bda0d4c6b8be526b796fa6153_3.png,left
"wolf portrait, ferns, butterflies",https://storage.yandexcloud.net/diffusion/61a6b6bdb97b410dbd78eae11edb2d5a_0.png,https://storage.yandexcloud.net/diffusion/61a6b6bdb97b410dbd78eae11edb2d5a_1.png,https://storage.yandexcloud.net/diffusion/61a6b6bdb97b410dbd78eae11edb2d5a_2.png,https://storage.yandexcloud.net/diffusion/61a6b6bdb97b410dbd78eae11edb2d5a_3.png,https://storage.yandexcloud.net/diffusion/1799389dc82f484091b2a62ce6806e08_0.png,https://storage.yandexcloud.net/diffusion/1799389dc82f484091b2a62ce6806e08_1.png,https://storage.yandexcloud.net/diffusion/1799389dc82f484091b2a62ce6806e08_2.png,https://storage.yandexcloud.net/diffusion/1799389dc82f484091b2a62ce6806e08_3.png,right
"Portrait of a knight, holding a sword, victorian",https://storage.yandexcloud.net/diffusion/b0cc6403858b4b8c87c3c8a2c6cfb28b_0.png,https://storage.yandexcloud.net/diffusion/b0cc6403858b4b8c87c3c8a2c6cfb28b_1.png,https://storage.yandexcloud.net/diffusion/b0cc6403858b4b8c87c3c8a2c6cfb28b_2.png,https://storage.yandexcloud.net/diffusion/b0cc6403858b4b8c87c3c8a2c6cfb28b_3.png,https://storage.yandexcloud.net/diffusion/6cb01cafc8754648a266e23b99594fe7_0.png,https://storage.yandexcloud.net/diffusion/6cb01cafc8754648a266e23b99594fe7_1.png,https://storage.yandexcloud.net/diffusion/6cb01cafc8754648a266e23b99594fe7_2.png,https://storage.yandexcloud.net/diffusion/6cb01cafc8754648a266e23b99594fe7_3.png,right
"Winterfell walls gate, lanscape",https://storage.yandexcloud.net/diffusion/47ce9f8dbfe3490f80ab00357bbf6f2b_0.png,https://storage.yandexcloud.net/diffusion/47ce9f8dbfe3490f80ab00357bbf6f2b_1.png,https://storage.yandexcloud.net/diffusion/47ce9f8dbfe3490f80ab00357bbf6f2b_2.png,https://storage.yandexcloud.net/diffusion/47ce9f8dbfe3490f80ab00357bbf6f2b_3.png,https://storage.yandexcloud.net/diffusion/97f5d2c334f54c96a35859da5c8f8558_0.png,https://storage.yandexcloud.net/diffusion/97f5d2c334f54c96a35859da5c8f8558_1.png,https://storage.yandexcloud.net/diffusion/97f5d2c334f54c96a35859da5c8f8558_2.png,https://storage.yandexcloud.net/diffusion/97f5d2c334f54c96a35859da5c8f8558_3.png,left
Dream fantasy in little european town,https://storage.yandexcloud.net/diffusion/40217cff05094de9aabc7c85283fb092_0.png,https://storage.yandexcloud.net/diffusion/40217cff05094de9aabc7c85283fb092_1.png,https://storage.yandexcloud.net/diffusion/40217cff05094de9aabc7c85283fb092_2.png,https://storage.yandexcloud.net/diffusion/40217cff05094de9aabc7c85283fb092_3.png,https://storage.yandexcloud.net/diffusion/95e79b5893ad46198dfe2911d66a8a93_0.png,https://storage.yandexcloud.net/diffusion/95e79b5893ad46198dfe2911d66a8a93_1.png,https://storage.yandexcloud.net/diffusion/95e79b5893ad46198dfe2911d66a8a93_2.png,https://storage.yandexcloud.net/diffusion/95e79b5893ad46198dfe2911d66a8a93_3.png,left
"gigantic paleolothic torus made of stone with carvings of shamanic robotic electronics and circuitry, in a mediterranean lanscape, inside a valley overlooking the sea",https://storage.yandexcloud.net/diffusion/8393587b299745109e2d75aaafc6b060_0.png,https://storage.yandexcloud.net/diffusion/8393587b299745109e2d75aaafc6b060_1.png,https://storage.yandexcloud.net/diffusion/8393587b299745109e2d75aaafc6b060_2.png,https://storage.yandexcloud.net/diffusion/8393587b299745109e2d75aaafc6b060_3.png,https://storage.yandexcloud.net/diffusion/3f5e3cfc75354aacb7134217b5cbac9b_0.png,https://storage.yandexcloud.net/diffusion/3f5e3cfc75354aacb7134217b5cbac9b_1.png,https://storage.yandexcloud.net/diffusion/3f5e3cfc75354aacb7134217b5cbac9b_2.png,https://storage.yandexcloud.net/diffusion/3f5e3cfc75354aacb7134217b5cbac9b_3.png,left
"silk road lanscape, rocket ship, space station",https://storage.yandexcloud.net/diffusion/a4cc8eec2e5e43f38440d15aafaeca16_0.png,https://storage.yandexcloud.net/diffusion/a4cc8eec2e5e43f38440d15aafaeca16_1.png,https://storage.yandexcloud.net/diffusion/a4cc8eec2e5e43f38440d15aafaeca16_2.png,https://storage.yandexcloud.net/diffusion/a4cc8eec2e5e43f38440d15aafaeca16_3.png,https://storage.yandexcloud.net/diffusion/31b82673713b408fbe5b44bfc83c3885_0.png,https://storage.yandexcloud.net/diffusion/31b82673713b408fbe5b44bfc83c3885_1.png,https://storage.yandexcloud.net/diffusion/31b82673713b408fbe5b44bfc83c3885_2.png,https://storage.yandexcloud.net/diffusion/31b82673713b408fbe5b44bfc83c3885_3.png,left
Interior of an alien spaceship,https://storage.yandexcloud.net/diffusion/eee3e549632b45658f7e9984b306022d_0.png,https://storage.yandexcloud.net/diffusion/eee3e549632b45658f7e9984b306022d_1.png,https://storage.yandexcloud.net/diffusion/eee3e549632b45658f7e9984b306022d_2.png,https://storage.yandexcloud.net/diffusion/eee3e549632b45658f7e9984b306022d_3.png,https://storage.yandexcloud.net/diffusion/bf96400e8091437f89394eb5504b921f_0.png,https://storage.yandexcloud.net/diffusion/bf96400e8091437f89394eb5504b921f_1.png,https://storage.yandexcloud.net/diffusion/bf96400e8091437f89394eb5504b921f_2.png,https://storage.yandexcloud.net/diffusion/bf96400e8091437f89394eb5504b921f_3.png,left
Halo 3 interiors,https://storage.yandexcloud.net/diffusion/8cdc3dba279644dd92a7849cd9a3d463_0.png,https://storage.yandexcloud.net/diffusion/8cdc3dba279644dd92a7849cd9a3d463_1.png,https://storage.yandexcloud.net/diffusion/8cdc3dba279644dd92a7849cd9a3d463_2.png,https://storage.yandexcloud.net/diffusion/8cdc3dba279644dd92a7849cd9a3d463_3.png,https://storage.yandexcloud.net/diffusion/b254925323984833bf0f50610fdfe13f_0.png,https://storage.yandexcloud.net/diffusion/b254925323984833bf0f50610fdfe13f_1.png,https://storage.yandexcloud.net/diffusion/b254925323984833bf0f50610fdfe13f_2.png,https://storage.yandexcloud.net/diffusion/b254925323984833bf0f50610fdfe13f_3.png,right
Futuristic city center with 890j maglev train in background,https://storage.yandexcloud.net/diffusion/a8f4c9972a11487797a7b3ee9ceb5af4_0.png,https://storage.yandexcloud.net/diffusion/a8f4c9972a11487797a7b3ee9ceb5af4_1.png,https://storage.yandexcloud.net/diffusion/a8f4c9972a11487797a7b3ee9ceb5af4_2.png,https://storage.yandexcloud.net/diffusion/a8f4c9972a11487797a7b3ee9ceb5af4_3.png,https://storage.yandexcloud.net/diffusion/8cf1818c69764ef8a7b3ff2cca123b7b_0.png,https://storage.yandexcloud.net/diffusion/8cf1818c69764ef8a7b3ff2cca123b7b_1.png,https://storage.yandexcloud.net/diffusion/8cf1818c69764ef8a7b3ff2cca123b7b_2.png,https://storage.yandexcloud.net/diffusion/8cf1818c69764ef8a7b3ff2cca123b7b_3.png,right
A potrait of a space fanstasy cat,https://storage.yandexcloud.net/diffusion/33769e08de5e4abeb7aa0560810da274_0.png,https://storage.yandexcloud.net/diffusion/33769e08de5e4abeb7aa0560810da274_1.png,https://storage.yandexcloud.net/diffusion/33769e08de5e4abeb7aa0560810da274_2.png,https://storage.yandexcloud.net/diffusion/33769e08de5e4abeb7aa0560810da274_3.png,https://storage.yandexcloud.net/diffusion/99c6f77cd8e24185867ae13fa1878c63_0.png,https://storage.yandexcloud.net/diffusion/99c6f77cd8e24185867ae13fa1878c63_1.png,https://storage.yandexcloud.net/diffusion/99c6f77cd8e24185867ae13fa1878c63_2.png,https://storage.yandexcloud.net/diffusion/99c6f77cd8e24185867ae13fa1878c63_3.png,left
An interstellar cat in a spacesuit,https://storage.yandexcloud.net/diffusion/f3f780768e4149e788a473609e2f800d_0.png,https://storage.yandexcloud.net/diffusion/f3f780768e4149e788a473609e2f800d_1.png,https://storage.yandexcloud.net/diffusion/f3f780768e4149e788a473609e2f800d_2.png,https://storage.yandexcloud.net/diffusion/f3f780768e4149e788a473609e2f800d_3.png,https://storage.yandexcloud.net/diffusion/3e6a4ec9e3eb4d9b98902654f4bf0639_0.png,https://storage.yandexcloud.net/diffusion/3e6a4ec9e3eb4d9b98902654f4bf0639_1.png,https://storage.yandexcloud.net/diffusion/3e6a4ec9e3eb4d9b98902654f4bf0639_2.png,https://storage.yandexcloud.net/diffusion/3e6a4ec9e3eb4d9b98902654f4bf0639_3.png,left
"portrait photo of an armored demonic undead deer with antlers, in a magical forest looking at the camera",https://storage.yandexcloud.net/diffusion/471d087cb3714e64b458b1efc14b90cb_0.png,https://storage.yandexcloud.net/diffusion/471d087cb3714e64b458b1efc14b90cb_1.png,https://storage.yandexcloud.net/diffusion/471d087cb3714e64b458b1efc14b90cb_2.png,https://storage.yandexcloud.net/diffusion/471d087cb3714e64b458b1efc14b90cb_3.png,https://storage.yandexcloud.net/diffusion/7695811ce17b4e0aaf14ca462e50bbbb_0.png,https://storage.yandexcloud.net/diffusion/7695811ce17b4e0aaf14ca462e50bbbb_1.png,https://storage.yandexcloud.net/diffusion/7695811ce17b4e0aaf14ca462e50bbbb_2.png,https://storage.yandexcloud.net/diffusion/7695811ce17b4e0aaf14ca462e50bbbb_3.png,left
Whale spaceship flying near a red dwarf star,https://storage.yandexcloud.net/diffusion/5420f715f9da454395de48ed2433a3f2_0.png,https://storage.yandexcloud.net/diffusion/5420f715f9da454395de48ed2433a3f2_1.png,https://storage.yandexcloud.net/diffusion/5420f715f9da454395de48ed2433a3f2_2.png,https://storage.yandexcloud.net/diffusion/5420f715f9da454395de48ed2433a3f2_3.png,https://storage.yandexcloud.net/diffusion/d525f744cfb6434489897972e2c78015_0.png,https://storage.yandexcloud.net/diffusion/d525f744cfb6434489897972e2c78015_1.png,https://storage.yandexcloud.net/diffusion/d525f744cfb6434489897972e2c78015_2.png,https://storage.yandexcloud.net/diffusion/d525f744cfb6434489897972e2c78015_3.png,right
A portrait of a monstrous frog covered in blue flames,https://storage.yandexcloud.net/diffusion/cbdceaa946054762bc3e10166d6fa038_0.png,https://storage.yandexcloud.net/diffusion/cbdceaa946054762bc3e10166d6fa038_1.png,https://storage.yandexcloud.net/diffusion/cbdceaa946054762bc3e10166d6fa038_2.png,https://storage.yandexcloud.net/diffusion/cbdceaa946054762bc3e10166d6fa038_3.png,https://storage.yandexcloud.net/diffusion/853293359bb34b83b0ad33249d386331_0.png,https://storage.yandexcloud.net/diffusion/853293359bb34b83b0ad33249d386331_1.png,https://storage.yandexcloud.net/diffusion/853293359bb34b83b0ad33249d386331_2.png,https://storage.yandexcloud.net/diffusion/853293359bb34b83b0ad33249d386331_3.png,right
"Vicious dog with three heads, glowing eyes and matted fur",https://storage.yandexcloud.net/diffusion/141f5d48373348fc95251f151cf59974_0.png,https://storage.yandexcloud.net/diffusion/141f5d48373348fc95251f151cf59974_1.png,https://storage.yandexcloud.net/diffusion/141f5d48373348fc95251f151cf59974_2.png,https://storage.yandexcloud.net/diffusion/141f5d48373348fc95251f151cf59974_3.png,https://storage.yandexcloud.net/diffusion/7282a4457d84467a8f178318876bf88d_0.png,https://storage.yandexcloud.net/diffusion/7282a4457d84467a8f178318876bf88d_1.png,https://storage.yandexcloud.net/diffusion/7282a4457d84467a8f178318876bf88d_2.png,https://storage.yandexcloud.net/diffusion/7282a4457d84467a8f178318876bf88d_3.png,right
"A golden tiger resting, dragon body",https://storage.yandexcloud.net/diffusion/5f0fe2a76c794cb882bff96a9409d320_0.png,https://storage.yandexcloud.net/diffusion/5f0fe2a76c794cb882bff96a9409d320_1.png,https://storage.yandexcloud.net/diffusion/5f0fe2a76c794cb882bff96a9409d320_2.png,https://storage.yandexcloud.net/diffusion/5f0fe2a76c794cb882bff96a9409d320_3.png,https://storage.yandexcloud.net/diffusion/535392fae6e14a888c4fdf5bf8e8c00f_0.png,https://storage.yandexcloud.net/diffusion/535392fae6e14a888c4fdf5bf8e8c00f_1.png,https://storage.yandexcloud.net/diffusion/535392fae6e14a888c4fdf5bf8e8c00f_2.png,https://storage.yandexcloud.net/diffusion/535392fae6e14a888c4fdf5bf8e8c00f_3.png,right
torus brain in edgy darkiron camel,https://storage.yandexcloud.net/diffusion/eba049e8f3b34e568f81525d3cc7f1e4_0.png,https://storage.yandexcloud.net/diffusion/eba049e8f3b34e568f81525d3cc7f1e4_1.png,https://storage.yandexcloud.net/diffusion/eba049e8f3b34e568f81525d3cc7f1e4_2.png,https://storage.yandexcloud.net/diffusion/eba049e8f3b34e568f81525d3cc7f1e4_3.png,https://storage.yandexcloud.net/diffusion/58581675e4404a21955906ff12d44d50_0.png,https://storage.yandexcloud.net/diffusion/58581675e4404a21955906ff12d44d50_1.png,https://storage.yandexcloud.net/diffusion/58581675e4404a21955906ff12d44d50_2.png,https://storage.yandexcloud.net/diffusion/58581675e4404a21955906ff12d44d50_3.png,left
An isolated apple tree,https://storage.yandexcloud.net/diffusion/8206ae4a58874a90bdae28985c5ad065_0.png,https://storage.yandexcloud.net/diffusion/8206ae4a58874a90bdae28985c5ad065_1.png,https://storage.yandexcloud.net/diffusion/8206ae4a58874a90bdae28985c5ad065_2.png,https://storage.yandexcloud.net/diffusion/8206ae4a58874a90bdae28985c5ad065_3.png,https://storage.yandexcloud.net/diffusion/76bfc52f2ce544f096eb3e6a13dae524_0.png,https://storage.yandexcloud.net/diffusion/76bfc52f2ce544f096eb3e6a13dae524_1.png,https://storage.yandexcloud.net/diffusion/76bfc52f2ce544f096eb3e6a13dae524_2.png,https://storage.yandexcloud.net/diffusion/76bfc52f2ce544f096eb3e6a13dae524_3.png,left
Steampunk helmet mask robot,https://storage.yandexcloud.net/diffusion/64e57b44ad3943bda1ad1461f64b2106_0.png,https://storage.yandexcloud.net/diffusion/64e57b44ad3943bda1ad1461f64b2106_1.png,https://storage.yandexcloud.net/diffusion/64e57b44ad3943bda1ad1461f64b2106_2.png,https://storage.yandexcloud.net/diffusion/64e57b44ad3943bda1ad1461f64b2106_3.png,https://storage.yandexcloud.net/diffusion/bf313fabc47743ef870d9d3f0a21819c_0.png,https://storage.yandexcloud.net/diffusion/bf313fabc47743ef870d9d3f0a21819c_1.png,https://storage.yandexcloud.net/diffusion/bf313fabc47743ef870d9d3f0a21819c_2.png,https://storage.yandexcloud.net/diffusion/bf313fabc47743ef870d9d3f0a21819c_3.png,right
heaven made of fruit basket,https://storage.yandexcloud.net/diffusion/d08375407e6c4b0683901a0a5bb95117_0.png,https://storage.yandexcloud.net/diffusion/d08375407e6c4b0683901a0a5bb95117_1.png,https://storage.yandexcloud.net/diffusion/d08375407e6c4b0683901a0a5bb95117_2.png,https://storage.yandexcloud.net/diffusion/d08375407e6c4b0683901a0a5bb95117_3.png,https://storage.yandexcloud.net/diffusion/eaa0dfc3a45643e78ae208291969fd2a_0.png,https://storage.yandexcloud.net/diffusion/eaa0dfc3a45643e78ae208291969fd2a_1.png,https://storage.yandexcloud.net/diffusion/eaa0dfc3a45643e78ae208291969fd2a_2.png,https://storage.yandexcloud.net/diffusion/eaa0dfc3a45643e78ae208291969fd2a_3.png,left
Wrc rally car stylized,https://storage.yandexcloud.net/diffusion/3d01bebfed4646f4b7ab3a3b20117648_0.png,https://storage.yandexcloud.net/diffusion/3d01bebfed4646f4b7ab3a3b20117648_1.png,https://storage.yandexcloud.net/diffusion/3d01bebfed4646f4b7ab3a3b20117648_2.png,https://storage.yandexcloud.net/diffusion/3d01bebfed4646f4b7ab3a3b20117648_3.png,https://storage.yandexcloud.net/diffusion/cad76f3162b04cce8cae942681ed3643_0.png,https://storage.yandexcloud.net/diffusion/cad76f3162b04cce8cae942681ed3643_1.png,https://storage.yandexcloud.net/diffusion/cad76f3162b04cce8cae942681ed3643_2.png,https://storage.yandexcloud.net/diffusion/cad76f3162b04cce8cae942681ed3643_3.png,right
American phone booth with antenna in the woods,https://storage.yandexcloud.net/diffusion/216544c77c06424baee9e33d2d53929a_0.png,https://storage.yandexcloud.net/diffusion/216544c77c06424baee9e33d2d53929a_1.png,https://storage.yandexcloud.net/diffusion/216544c77c06424baee9e33d2d53929a_2.png,https://storage.yandexcloud.net/diffusion/216544c77c06424baee9e33d2d53929a_3.png,https://storage.yandexcloud.net/diffusion/f2b333e73b98400e89dde51ed5fbca0d_0.png,https://storage.yandexcloud.net/diffusion/f2b333e73b98400e89dde51ed5fbca0d_1.png,https://storage.yandexcloud.net/diffusion/f2b333e73b98400e89dde51ed5fbca0d_2.png,https://storage.yandexcloud.net/diffusion/f2b333e73b98400e89dde51ed5fbca0d_3.png,left
depiction of the beginning of the universe inside a snow globe,https://storage.yandexcloud.net/diffusion/01940706dc7e4c82b033d4e9a7eb6092_0.png,https://storage.yandexcloud.net/diffusion/01940706dc7e4c82b033d4e9a7eb6092_1.png,https://storage.yandexcloud.net/diffusion/01940706dc7e4c82b033d4e9a7eb6092_2.png,https://storage.yandexcloud.net/diffusion/01940706dc7e4c82b033d4e9a7eb6092_3.png,https://storage.yandexcloud.net/diffusion/42c776beceed4e16bb4b35807ce3ca60_0.png,https://storage.yandexcloud.net/diffusion/42c776beceed4e16bb4b35807ce3ca60_1.png,https://storage.yandexcloud.net/diffusion/42c776beceed4e16bb4b35807ce3ca60_2.png,https://storage.yandexcloud.net/diffusion/42c776beceed4e16bb4b35807ce3ca60_3.png,right
Blue flame captured in a bottle,https://storage.yandexcloud.net/diffusion/0c8976aa5ac343e1b4eb5a1a1d961df2_0.png,https://storage.yandexcloud.net/diffusion/0c8976aa5ac343e1b4eb5a1a1d961df2_1.png,https://storage.yandexcloud.net/diffusion/0c8976aa5ac343e1b4eb5a1a1d961df2_2.png,https://storage.yandexcloud.net/diffusion/0c8976aa5ac343e1b4eb5a1a1d961df2_3.png,https://storage.yandexcloud.net/diffusion/7fc2761fe3bb44eaa4bf8219a63156ff_0.png,https://storage.yandexcloud.net/diffusion/7fc2761fe3bb44eaa4bf8219a63156ff_1.png,https://storage.yandexcloud.net/diffusion/7fc2761fe3bb44eaa4bf8219a63156ff_2.png,https://storage.yandexcloud.net/diffusion/7fc2761fe3bb44eaa4bf8219a63156ff_3.png,left
